#1:kx	2:ky	3:E1	4:E2
1.3823	2.13628	-3.595	3.595
1.3823	2.26195	-3.67492	3.67492
1.3823	2.38761	-3.74548	3.74548
1.3823	2.51327	-3.8061	3.8061
1.3823	2.63894	-3.85633	3.85633
1.3823	2.7646	-3.89577	3.89577
1.3823	2.89027	-3.92415	3.92415
1.3823	3.01593	-3.94126	3.94126
1.3823	3.14159	-3.94698	3.94698
1.3823	3.26726	-3.94126	3.94126
1.3823	3.39292	-3.92415	3.92415
1.3823	3.51858	-3.89577	3.89577
1.3823	3.64425	-3.85633	3.85633
1.3823	3.76991	-3.8061	3.8061
1.3823	3.89557	-3.74548	3.74548
1.3823	4.02124	-3.67492	3.67492
1.3823	4.1469	-3.595	3.595
1.3823	4.27257	-3.50637	3.50637
1.3823	4.39823	-3.40982	3.40982
1.3823	4.52389	-3.30624	3.30624
1.3823	4.64956	-3.19666	3.19666
1.3823	4.77522	-3.08228	3.08228
1.3823	4.90088	-2.96444	2.96444
1.3823	5.02655	-2.84469	2.84469
1.3823	5.15221	-2.72479	2.72479
1.3823	5.27788	-2.60674	2.60674
1.3823	5.40354	-2.4928	2.4928
1.3823	5.5292	-2.38548	2.38548
1.3823	5.65487	-2.28751	2.28751
1.3823	5.78053	-2.20179	2.20179
1.3823	5.90619	-2.13121	2.13121
1.3823	6.03186	-2.07849	2.07849
1.3823	6.15752	-2.04586	2.04586

1.50796	0	-2.00394	2.00394
1.50796	0.125664	-2.01565	2.01565
1.50796	0.251327	-2.05019	2.05019
1.50796	0.376991	-2.10592	2.10592
1.50796	0.502655	-2.18037	2.18037
1.50796	0.628319	-2.2706	2.2706
1.50796	0.753982	-2.37348	2.37348
1.50796	0.879646	-2.48592	2.48592
1.50796	1.00531	-2.60503	2.60503
1.50796	1.13097	-2.72818	2.72818
1.50796	1.25664	-2.85305	2.85305
1.50796	1.3823	-2.97756	2.97756
1.50796	1.50796	-3.09991	3.09991
1.50796	1.63363	-3.21854	3.21854
1.50796	1.75929	-3.33206	3.33206
1.50796	1.88496	-3.43927	3.43927
1.50796	2.01062	-3.53913	3.53913
1.50796	2.13628	-3.63074	3.63074
1.50796	2.26195	-3.71331	3.71331
1.50796	2.38761	-3.78617	3.78617
1.50796	2.51327	-3.84874	3.84874
1.50796	2.63894	-3.90057	3.90057
1.50796	2.7646	-3.94126	3.94126
1.50796	2.89027	-3.97054	3.97054
1.50796	3.01593	-3.98819	3.98819
1.50796	3.14159	-3.99408	3.99408
1.50796	3.26726	-3.98819	3.98819
1.50796	3.39292	-3.97054	3.97054
1.50796	3.51858	-3.94126	3.94126
1.50796	3.64425	-3.90057	3.90057
1.50796	3.76991	-3.84874	3.84874
1.50796	3.89557	-3.78617	3.78617
1.50796	4.02124	-3.71331	3.71331
1.50796	4.1469	-3.63074	3.63074
1.50796	4.27257	-3.53913	3.53913
1.50796	4.39823	-3.43927	3.43927
1.50796	4.52389	-3.33206	3.33206
1.50796	4.64956	-3.21854	3.21854
1.50796	4.77522	-3.09991	3.09991
1.50796	4.90088	-2.97756	2.97756
1.50796	5.02655	-2.85305	2.85305
1.50796	5.15221	-2.72818	2.72818
1.50796	5.27788	-2.60503	2.60503
1.50796	5.40354	-2.48592	2.48592
1.50796	5.5292	-2.37348	2.37348
1.50796	5.65487	-2.2706	2.2706
1.50796	5.78053	-2.18037	2.18037
1.50796	5.90619	-2.10592	2.10592
1.50796	6.03186	-2.05019	2.05019
1.50796	6.15752	-2.01565	2.01565

1.63363	0	-2.00394	2.00394
1.63363	0.125664	-2.01565	2.01565
1.63363	0.251327	-2.05019	2.05019
1.63363	0.376991	-2.10592	2.10592
1.63363	0.502655	-2.18037	2.18037
1.63363	0.628319	-2.2706	2.2706
1.63363	0.753982	-2.37348	2.37348
1.63363	0.879646	-2.48592	2.48592
1.63363	1.00531	-2.60503	2.60503
1.63363	1.13097	-2.72818	2.72818
1.63363	1.25664	-2.85305	2.85305
1.63363	1.3823	-2.97756	2.97756
1.63363	1.50796	-3.09991	3.09991
1.63363	1.63363	-3.21854	3.21854
1.63363	1.75929	-3.33206	3.33206
1.63363	1.88496	-3.43927	3.43927
1.63363	2.01062	-3.53913	3.53913
1.63363	2.13628	-3.63074	3.63074
1.63363	2.26195	-3.71331	3.71331
1.63363	2.38761	-3.78617	3.78617
1.63363	2.51327	-3.84874	3.84874
