#1:n	2:kx	3:s(n,kx)
17	19	9.42633e-16
17	20	9.08336e-16
17	21	9.04894e-16
17	22	1.01432e-15
17	23	9.8609e-16
17	24	9.51416e-16
17	25	1.00043e-15
17	26	9.71107e-16
17	27	9.92046e-16
17	28	9.93671e-16
17	29	1.01322e-15
17	30	1.01167e-15
17	31	9.72789e-16
17	32	9.57542e-16
17	33	9.47868e-16
17	34	9.44818e-16
17	35	9.74622e-16
17	36	9.86732e-16
17	37	9.86386e-16
17	38	9.56884e-16
17	39	1.01235e-15

18	0	8.86847e-16
18	1	9.87032e-16
18	2	9.92362e-16
18	3	9.40768e-16
18	4	9.69995e-16
18	5	1.03602e-15
18	6	9.85146e-16
18	7	9.78612e-16
18	8	9.77435e-16
18	9	9.66734e-16
18	10	1.00349e-15
18	11	1.03715e-15
18	12	1.00293e-15
18	13	1.0104e-15
18	14	1.02091e-15
18	15	1.01063e-15
18	16	1.00481e-15
18	17	1.01873e-15
18	18	9.95192e-16
18	19	9.55134e-16
18	20	9.11215e-16
18	21	9.1558e-16
18	22	1.04213e-15
18	23	9.99406e-16
18	24	9.64164e-16
18	25	1.00059e-15
18	26	1.01045e-15
18	27	1.00037e-15
18	28	1.02832e-15
18	29	1.01427e-15
18	30	1.06845e-15
18	31	9.74597e-16
18	32	9.75246e-16
18	33	9.7462e-16
18	34	9.95768e-16
18	35	1.02483e-15
18	36	1.05292e-15
18	37	1.01822e-15
18	38	9.8155e-16
18	39	1.04762e-15

19	0	8.91184e-16
19	1	9.87156e-16
19	2	1.11279e-15
19	3	9.72523e-16
19	4	9.709e-16
19	5	1.05087e-15
19	6	9.88664e-16
19	7	1.00718e-15
19	8	1.0031e-15
19	9	9.99183e-16
19	10	1.03046e-15
19	11	1.06445e-15
19	12	1.03088e-15
19	13	1.05997e-15
19	14	1.02892e-15
19	15	1.02954e-15
19	16	1.01278e-15
19	17	1.03341e-15
19	18	1.00076e-15
19	19	9.61957e-16
19	20	9.35976e-16
19	21	9.55691e-16
19	22	1.07006e-15
19	23	1.01837e-15
19	24	9.84001e-16
19	25	1.0103e-15
19	26	1.0279e-15
19	27	1.02821e-15
19	28	1.04743e-15
19	29	1.02827e-15
19	30	1.09812e-15
19	31	1.00561e-15
19	32	1.03143e-15
19	33	9.75875e-16
19	34	1.04825e-15
19	35	1.0564e-15
19	36	1.06289e-15
19	37	1.02178e-15
19	38	1.09859e-15
19	39	1.05487e-15

20	0	8.94998e-16
20	1	1.05427e-15
