#1:kx	2:n	3:s(n)
5	20	8.97516e-18
5	21	8.91827e-18
5	22	8.89796e-18
5	23	8.90401e-18
5	24	8.98843e-18
5	25	8.90956e-18
5	26	8.94143e-18
5	27	9.00101e-18
5	28	8.96477e-18
5	29	9.14104e-18
5	30	9.13562e-18
5	31	9.0021e-18
5	32	9.1213e-18
5	33	9.17988e-18
5	34	9.41378e-18
5	35	9.64455e-18
5	36	9.86931e-18
5	37	1.00856e-17
5	38	1.02915e-17
5	39	1.04851e-17
5	40	1.06652e-17
5	41	1.08306e-17
5	42	1.09804e-17
5	43	1.11139e-17
5	44	1.12306e-17
5	45	1.13299e-17
5	46	1.14116e-17
5	47	1.14754e-17
5	48	1.15211e-17
5	49	1.15485e-17
5	50	1.15577e-17
5	51	1.15485e-17
5	52	1.15211e-17
5	53	1.14754e-17
5	54	1.14116e-17
5	55	1.13299e-17
5	56	1.12306e-17
5	57	1.11139e-17
5	58	1.09804e-17
5	59	1.08306e-17
5	60	1.06652e-17
5	61	1.04851e-17
5	62	1.02915e-17
5	63	1.00856e-17
5	64	9.86931e-18
5	65	9.64455e-18
5	66	9.41378e-18
5	67	9.17988e-18
5	68	9.16469e-18
5	69	9.09533e-18
5	70	9.13096e-18
5	71	9.03985e-18
5	72	9.00418e-18
5	73	9.08062e-18
5	74	9.17151e-18
5	75	9.05679e-18
5	76	9.12474e-18
5	77	9.12232e-18
5	78	9.15562e-18
5	79	9.24618e-18
5	80	9.20224e-18
5	81	9.17971e-18
5	82	9.2184e-18
5	83	9.29379e-18
5	84	9.25427e-18
5	85	9.36294e-18
5	86	9.30705e-18
5	87	9.31307e-18
5	88	9.41993e-18
5	89	9.49012e-18
5	90	9.48608e-18
5	91	9.58127e-18
5	92	9.73966e-18
5	93	9.8831e-18
5	94	1.00101e-17
5	95	1.01193e-17
5	96	1.02099e-17
5	97	1.02811e-17
5	98	1.03323e-17
5	99	1.03632e-17

6	0	1.03735e-17
6	1	1.03632e-17
6	2	1.03323e-17
6	3	1.02811e-17
6	4	1.02099e-17
6	5	1.01193e-17
6	6	1.00101e-17
6	7	9.8831e-18
6	8	9.73966e-18
6	9	9.58127e-18
6	10	9.40977e-18
6	11	9.22741e-18
6	12	9.03687e-18
6	13	8.95623e-18
6	14	8.91761e-18
6	15	8.89466e-18
6	16	8.87518e-18
6	17	8.87047e-18
6	18	8.93235e-18
6	19	8.96727e-18
6	20	8.98243e-18
6	21	8.9275e-18
6	22	8.90868e-18
6	23	8.90905e-18
6	24	9.01371e-18
6	25	8.96149e-18
6	26	8.97004e-18
6	27	9.02358e-18
6	28	8.99558e-18
6	29	9.145e-18
6	30	9.13745e-18
6	31	9.08157e-18
6	32	9.13441e-18
6	33	9.17988e-18
6	34	9.41378e-18
6	35	9.64455e-18
6	36	9.86931e-18
6	37	1.00856e-17
6	38	1.02915e-17
6	39	1.04851e-17
6	40	1.06652e-17
6	41	1.08306e-17
6	42	1.09804e-17
6	43	1.11139e-17
6	44	1.12306e-17
6	45	1.13299e-17
6	46	1.14116e-17
6	47	1.14754e-17
6	48	1.15211e-17
6	49	1.15485e-17
6	50	1.15577e-17
6	51	1.15485e-17
6	52	1.15211e-17
6	53	1.14754e-17
6	54	1.14116e-17
6	55	1.13299e-17
6	56	1.12306e-17
6	57	1.11139e-17
6	58	1.09804e-17
6	59	1.08306e-17
6	60	1.06652e-17
6	61	1.04851e-17
6	62	1.02915e-17
6	63	1.00856e-17
6	64	9.86931e-18
6	65	9.64455e-18
6	66	9.41378e-18
6	67	9.18581e-18
6	68	9.18048e-18
6	69	9.09563e-18
6	70	9.15244e-18
6	71	9.06272e-18
6	72	9.01022e-18
6	73	9.1883e-18
6	74	9.19484e-18
6	75	9.0807e-18
6	76	9.14741e-18
6	77	9.13541e-18
6	78	9.19398e-18
6	79	9.25841e-18
6	80	9.20695e-18
6	81	9.25091e-18
6	82	9.2379e-18
6	83	9.31414e-18
6	84	9.25696e-18
6	85	9.36779e-18
6	86	9.31322e-18
6	87	9.36014e-18
6	88	9.44572e-18
6	89	9.5107e-18
6	90	9.53767e-18
6	91	9.58127e-18
6	92	9.73966e-18
6	93	9.8831e-18
6	94	1.00101e-17
6	95	1.01193e-17
6	96	1.02099e-17
6	97	1.02811e-17
6	98	1.03323e-17
6	99	1.03632e-17

7	0	1.03735e-17
7	1	1.03632e-17
7	2	1.03323e-17
7	3	1.02811e-17
7	4	1.02099e-17
7	5	1.01193e-17
7	6	1.00101e-17
7	7	9.8831e-18
7	8	9.73966e-18
7	9	9.58127e-18
7	10	9.40977e-18
7	11	9.22741e-18
7	12	9.03687e-18
7	13	8.96306e-18
7	14	8.95606e-18
7	15	8.90527e-18
7	16	8.92263e-18
7	17	8.89093e-18
7	18	8.94013e-18
7	19	8.9813e-18
7	20	9.00939e-18
7	21	8.95799e-18
7	22	8.93482e-18
7	23	8.9799e-18
7	24	9.02161e-18
7	25	8.9627e-18
7	26	8.97306e-18
7	27	9.06913e-18
7	28	9.00965e-18
7	29	9.17943e-18
7	30	9.14409e-18
7	31	9.09241e-18
7	32	9.13705e-18
7	33	9.17988e-18
7	34	9.41378e-18
7	35	9.64455e-18
7	36	9.86931e-18
7	37	1.00856e-17
7	38	1.02915e-17
7	39	1.04851e-17
7	40	1.06652e-17
7	41	1.08306e-17
7	42	1.09804e-17
7	43	1.11139e-17
7	44	1.12306e-17
7	45	1.13299e-17
7	46	1.14116e-17
7	47	1.14754e-17
7	48	1.15211e-17
7	49	1.15485e-17
7	50	1.15577e-17
7	51	1.15485e-17
7	52	1.15211e-17
7	53	1.14754e-17
7	54	1.14116e-17
7	55	1.13299e-17
7	56	1.12306e-17
7	57	1.11139e-17
7	58	1.09804e-17
7	59	1.08306e-17
7	60	1.06652e-17
7	61	1.04851e-17
7	62	1.02915e-17
7	63	1.00856e-17
7	64	9.86931e-18
7	65	9.64455e-18
7	66	9.41378e-18
7	67	9.18773e-18
7	68	9.18431e-18
7	69	9.13029e-18
7	70	9.15869e-18
7	71	9.12123e-18
7	72	9.04754e-18
7	73	9.20421e-18
7	74	9.2017e-18
7	75	9.08979e-18
7	76	9.16645e-18
7	77	9.14494e-18
7	78	9.20408e-18
7	79	9.26113e-18
7	80	9.26837e-18
7	81	9.261e-18
7	82	9.25461e-18
7	83	9.33689e-18
7	84	9.26359e-18
7	85	9.40464e-18
7	86	9.34142e-18
7	87	9.40337e-18
7	88	9.45604e-18
7	89	9.51438e-18
7	90	9.59445e-18
7	91	9.604e-18
7	92	9.73966e-18
7	93	9.8831e-18
7	94	1.00101e-17
7	95	1.01193e-17
7	96	1.02099e-17
7	97	1.02811e-17
7	98	1.03323e-17
7	99	1.03632e-17

8	0	1.03735e-17
8	1	1.03632e-17
8	2	1.03323e-17
8	3	1.02811e-17
8	4	1.02099e-17
8	5	1.01193e-17
8	6	1.00101e-17
8	7	9.8831e-18
8	8	9.73966e-18
8	9	9.58127e-18
8	10	9.40977e-18
8	11	9.22741e-18
8	12	9.03687e-18
8	13	8.97668e-18
8	14	8.98145e-18
8	15	8.93609e-18
8	16	8.94086e-18
8	17	8.98212e-18
8	18	8.94024e-18
8	19	8.98718e-18
8	20	9.0111e-18
8	21	8.98851e-18
8	22	8.94663e-18
8	23	8.99679e-18
8	24	9.04822e-18
8	25	8.97259e-18
8	26	8.97542e-18
8	27	9.08988e-18
8	28	9.07603e-18
8	29	9.1817e-18
8	30	9.16955e-18
8	31	9.13728e-18
8	32	9.17869e-18
8	33	9.21035e-18
8	34	9.41378e-18
8	35	9.64455e-18
8	36	9.86931e-18
8	37	1.00856e-17
8	38	1.02915e-17
8	39	1.04851e-17
8	40	1.06652e-17
8	41	1.08306e-17
8	42	1.09804e-17
8	43	1.11139e-17
8	44	1.12306e-17
8	45	1.13299e-17
8	46	1.14116e-17
8	47	1.14754e-17
8	48	1.15211e-17
8	49	1.15485e-17
8	50	1.15577e-17
8	51	1.15485e-17
8	52	1.15211e-17
8	53	1.14754e-17
8	54	1.14116e-17
8	55	1.13299e-17
8	56	1.12306e-17
8	57	1.11139e-17
8	58	1.09804e-17
8	59	1.08306e-17
8	60	1.06652e-17
8	61	1.04851e-17
8	62	1.02915e-17
8	63	1.00856e-17
8	64	9.86931e-18
8	65	9.64455e-18
8	66	9.41378e-18
8	67	9.20486e-18
8	68	9.2006e-18
8	69	9.16493e-18
8	70	9.16051e-18
8	71	9.14832e-18
8	72	9.04828e-18
8	73	9.207e-18
8	74	9.22573e-18
8	75	9.09327e-18
8	76	9.17517e-18
8	77	9.19525e-18
8	78	9.23371e-18
8	79	9.30155e-18
8	80	9.28336e-18
8	81	9.26349e-18
8	82	9.28055e-18
8	83	9.35174e-18
8	84	9.27261e-18
8	85	9.40667e-18
8	86	9.35446e-18
8	87	9.41528e-18
8	88	9.4925e-18
8	89	9.5283e-18
8	90	9.59772e-18
8	91	9.61308e-18
8	92	9.73966e-18
8	93	9.8831e-18
8	94	1.00101e-17
8	95	1.01193e-17
8	96	1.02099e-17
8	97	1.02811e-17
8	98	1.03323e-17
8	99	1.03632e-17

9	0	1.03735e-17
9	1	1.03632e-17
9	2	1.03323e-17
9	3	1.02811e-17
9	4	1.02099e-17
9	5	1.01193e-17
9	6	1.00101e-17
9	7	9.8831e-18
9	8	9.73966e-18
9	9	9.58127e-18
9	10	9.40977e-18
9	11	9.22741e-18
9	12	9.03687e-18
9	13	9.0344e-18
9	14	8.9968e-18
9	15	8.94151e-18
9	16	8.97152e-18
9	17	8.99214e-18
9	18	8.94444e-18
9	19	8.99468e-18
9	20	9.03544e-18
9	21	9.00741e-18
9	22	9.0069e-18
9	23	9.0285e-18
9	24	9.06294e-18
9	25	8.97601e-18
