#1:n	2:kx	3:s(n,kx)
17	12	9.26889e-16
17	13	8.93666e-16
17	14	8.88322e-16
17	15	8.85083e-16
17	16	9.08692e-16
17	17	9.13158e-16
17	18	8.90022e-16
17	19	8.82016e-16
17	20	8.8193e-16
17	21	8.89484e-16
17	22	9.01331e-16
17	23	9.07532e-16
17	24	8.84574e-16
17	25	9.13042e-16
17	26	9.02893e-16
17	27	9.24536e-16
17	28	9.00012e-16
17	29	9.06519e-16
17	30	9.47618e-16
17	31	9.41259e-16
17	32	9.10443e-16
17	33	9.04382e-16
17	34	9.26687e-16
17	35	9.32972e-16
17	36	9.2055e-16
17	37	9.61182e-16
17	38	9.04537e-16
17	39	9.39609e-16

18	0	8.13099e-16
18	1	8.73094e-16
18	2	8.82276e-16
18	3	8.85441e-16
18	4	8.84145e-16
18	5	8.90618e-16
18	6	9.13642e-16
18	7	9.15039e-16
18	8	9.27475e-16
18	9	9.18424e-16
18	10	9.42322e-16
18	11	9.51659e-16
18	12	9.37218e-16
18	13	9.01032e-16
18	14	9.26872e-16
18	15	8.85671e-16
18	16	9.34857e-16
18	17	9.22771e-16
18	18	9.00888e-16
18	19	8.87925e-16
18	20	8.87683e-16
18	21	8.92196e-16
18	22	9.3058e-16
18	23	9.11019e-16
18	24	8.93199e-16
18	25	9.15351e-16
18	26	9.10958e-16
18	27	9.33583e-16
18	28	9.23818e-16
18	29	9.11929e-16
18	30	9.49863e-16
18	31	9.4301e-16
18	32	9.15865e-16
18	33	9.15754e-16
18	34	9.30666e-16
18	35	9.33568e-16
18	36	9.23617e-16
18	37	9.6289e-16
18	38	9.40145e-16
18	39	9.45052e-16

19	0	8.18967e-16
19	1	9.2217e-16
19	2	8.85613e-16
19	3	9.00381e-16
19	4	8.84448e-16
19	5	8.94653e-16
19	6	9.18535e-16
19	7	9.1584e-16
19	8	9.37637e-16
19	9	9.29519e-16
19	10	9.54715e-16
19	11	9.60688e-16
19	12	9.63698e-16
19	13	9.0146e-16
19	14	9.49124e-16
19	15	8.91378e-16
19	16	9.47325e-16
19	17	9.31425e-16
19	18	9.04407e-16
19	19	8.9343e-16
19	20	9.00471e-16
19	21	9.00044e-16
19	22	9.34851e-16
19	23	9.16485e-16
19	24	8.95742e-16
19	25	9.2178e-16
19	26	9.38885e-16
19	27	9.40651e-16
19	28	9.2705e-16
19	29	9.23702e-16
19	30	9.56319e-16
19	31	9.46848e-16
19	32	9.24185e-16
19	33	9.17172e-16
19	34	9.40808e-16
19	35	9.34095e-16
19	36	9.25445e-16
19	37	9.64304e-16
19	38	9.61044e-16
19	39	9.52959e-16

20	0	8.37781e-16
20	1	9.61605e-16
20	2	8.87844e-16
20	3	9.03891e-16
20	4	9.01656e-16
20	5	9.00012e-16
20	6	9.27133e-16
20	7	9.22303e-16
20	8	9.39242e-16
20	9	9.31985e-16
20	10	9.85957e-16
20	11	9.69408e-16
20	12	9.71674e-16
20	13	9.09306e-16
20	14	9.50974e-16
20	15	9.15782e-16
20	16	9.76157e-16
20	17	9.38103e-16
20	18	9.06806e-16
20	19	8.96658e-16
20	20	9.18115e-16
20	21	9.04896e-16
20	22	9.36471e-16
20	23	9.21973e-16
20	24	9.05314e-16
20	25	9.34114e-16
20	26	9.42528e-16
20	27	9.45024e-16
20	28	9.95972e-16
20	29	9.57491e-16
20	30	9.94275e-16
20	31	9.47233e-16
20	32	9.28036e-16
20	33	9.23899e-16
20	34	9.41509e-16
20	35	9.3945e-16
20	36	9.45752e-16
20	37	9.78826e-16
20	38	9.63092e-16
20	39	9.53641e-16

21	0	8.45469e-16
21	1	9.93079e-16
21	2	9.21997e-16
21	3	9.07303e-16
21	4	9.08363e-16
21	5	9.17749e-16
21	6	9.38932e-16
21	7	9.38225e-16
21	8	9.49043e-16
21	9	9.56437e-16
21	10	9.88874e-16
21	11	9.71424e-16
21	12	9.7848e-16
21	13	9.1085e-16
21	14	1.00685e-15
21	15	9.41706e-16
21	16	9.81207e-16
21	17	9.55734e-16
21	18	9.59684e-16
21	19	9.0747e-16
21	20	9.21143e-16
21	21	9.45689e-16
21	22	9.63383e-16
21	23	9.25133e-16
21	24	9.35564e-16
21	25	9.4824e-16
21	26	9.61688e-16
21	27	9.66362e-16
21	28	1.03698e-15
21	29	9.71928e-16
21	30	9.95404e-16
21	31	9.54172e-16
21	32	9.56407e-16
21	33	9.27497e-16
21	34	9.51304e-16
21	35	9.5819e-16
21	36	9.48129e-16
21	37	9.81519e-16
21	38	9.95062e-16
21	39	9.63349e-16

22	0	8.50408e-16
22	1	9.99245e-16
22	2	9.9151e-16
22	3	9.88849e-16
22	4	9.7609e-16
22	5	9.68524e-16
22	6	9.75247e-16
22	7	9.96421e-16
22	8	1.00396e-15
22	9	9.98144e-16
22	10	1.01352e-15
22	11	1.03481e-15
22	12	9.94278e-16
22	13	9.14363e-16
22	14	1.02109e-15
22	15	9.93339e-16
22	16	1.0247e-15
22	17	9.84454e-16
22	18	1.02236e-15
22	19	9.10832e-16
22	20	9.51456e-16
22	21	9.65282e-16
22	22	9.84405e-16
22	23	1.02514e-15
22	24	9.68621e-16
22	25	9.56376e-16
22	26	1.01344e-15
22	27	9.67317e-16
22	28	1.11201e-15
22	29	9.81308e-16
22	30	1.02947e-15
22	31	9.55905e-16
22	32	9.63799e-16
22	33	9.68594e-16
22	34	9.53819e-16
22	35	1.07443e-15
22	36	1.01361e-15
22	37	9.9514e-16
22	38	1.037e-15
22	39	9.94301e-16

23	0	8.54662e-16
23	1	1.02777e-15
23	2	1.05884e-15
23	3	1.03539e-15
23	4	1.10009e-15
23	5	1.1033e-15
23	6	1.04716e-15
23	7	9.98808e-16
23	8	1.01989e-15
23	9	1.06785e-15
23	10	1.18461e-15
23	11	1.15555e-15
23	12	1.1048e-15
23	13	1.07596e-15
23	14	1.10391e-15
23	15	1.06146e-15
23	16	1.03948e-15
23	17	1.00502e-15
23	18	1.02415e-15
23	19	9.46213e-16
23	20	9.52429e-16
23	21	9.66491e-16
23	22	9.92116e-16
23	23	1.04313e-15
23	24	1.00494e-15
23	25	1.06201e-15
23	26	1.20202e-15
23	27	1.17272e-15
23	28	1.13785e-15
23	29	1.03305e-15
23	30	1.25066e-15
23	31	1.12462e-15
23	32	1.04279e-15
23	33	1.06476e-15
23	34	1.05803e-15
23	35	1.16379e-15
23	36	1.08724e-15
23	37	1.006e-15
23	38	1.05615e-15
23	39	1.04151e-15

24	0	9.26649e-16
24	1	1.02998e-15
24	2	1.11597e-15
24	3	1.15609e-15
24	4	1.18746e-15
24	5	1.25952e-15
24	6	1.2387e-15
24	7	1.45837e-15
24	8	1.54203e-15
24	9	1.48287e-15
24	10	1.34961e-15
24	11	1.2568e-15
24	12	1.50057e-15
24	13	1.44389e-15
24	14	1.11347e-15
24	15	1.06811e-15
24	16	1.05463e-15
24	17	1.03904e-15
24	18	1.02803e-15
24	19	1.00706e-15
24	20	9.62405e-16
24	21	9.74933e-16
24	22	1.06241e-15
24	23	1.04835e-15
24	24	1.01968e-15
24	25	1.07978e-15
24	26	1.22607e-15
24	27	1.27235e-15
24	28	1.26396e-15
24	29	1.30548e-15
24	30	1.26605e-15
24	31	1.4796e-15
24	32	1.61101e-15
24	33	1.6085e-15
24	34	1.53905e-15
24	35	1.26872e-15
24	36	1.13452e-15
24	37	1.23704e-15
24	38	1.13846e-15
24	39	1.1602e-15

25	0	9.36984e-16
25	1	1.06575e-15
25	2	1.94592e-15
25	3	1.84397e-15
25	4	2.32149e-15
25	5	3.43577e-15
25	6	2.1365e-15
25	7	1.98702e-15
25	8	2.54229e-15
25	9	1.82873e-15
25	10	1.63054e-15
25	11	1.5988e-15
25	12	1.50799e-15
25	13	1.5487e-15
25	14	1.14327e-15
25	15	1.41082e-15
25	16	1.12859e-15
25	17	1.10579e-15
25	18	1.07323e-15
25	19	1.04407e-15
25	20	9.79792e-16
25	21	1.12427e-15
25	22	1.08882e-15
25	23	1.11536e-15
25	24	1.21071e-15
25	25	1.12354e-15
25	26	1.46756e-15
25	27	1.53474e-15
25	28	1.51194e-15
25	29	1.55318e-15
25	30	1.55955e-15
25	31	1.84078e-15
25	32	2.48415e-15
25	33	2.83346e-15
25	34	4.41778e-15
25	35	2.74539e-15
25	36	2.49473e-15
25	37	2.86322e-15
25	38	1.35497e-15
25	39	1.16356e-15

26	0	9.49552e-16
26	1	1.09423e-15
26	2	3.93696e-15
26	3	7.10184e-15
26	4	7.26346e-15
26	5	7.18323e-15
26	6	5.36945e-15
26	7	3.83651e-15
26	8	3.04136e-15
26	9	3.04663e-15
26	10	3.41065e-15
26	11	3.79721e-15
26	12	4.68427e-15
26	13	3.05078e-15
26	14	2.27126e-15
26	15	2.33603e-15
26	16	1.72434e-15
26	17	2.09884e-15
26	18	1.53189e-15
26	19	1.08245e-15
26	20	9.90927e-16
26	21	1.12884e-15
26	22	1.6183e-15
26	23	1.12211e-15
26	24	2.34584e-15
26	25	2.0766e-15
26	26	1.81129e-15
26	27	3.00313e-15
26	28	2.41415e-15
26	29	3.19286e-15
26	30	3.87111e-15
26	31	6.18527e-15
26	32	5.73032e-15
26	33	3.82545e-15
26	34	5.51199e-15
26	35	6.79852e-15
26	36	7.15449e-15
26	37	5.97811e-15
26	38	3.77513e-15
26	39	1.29091e-15

27	0	9.6222e-16
27	1	1.02979e-14
27	2	1.22958e-14
27	3	9.95347e-15
27	4	1.02089e-14
27	5	8.8571e-15
27	6	1.64673e-14
27	7	7.21976e-15
27	8	9.1636e-15
27	9	9.11664e-15
27	10	1.04861e-14
27	11	1.14291e-14
27	12	1.00093e-14
27	13	8.84627e-15
27	14	6.23123e-15
27	15	1.23439e-14
27	16	1.25072e-14
27	17	9.99506e-15
