#1:kx	2:n	3:s(n)
6	13	1.41461e-17
6	14	1.41824e-17
6	15	1.42013e-17
6	16	1.4303e-17
6	17	1.42806e-17
6	18	1.42776e-17
6	19	1.43799e-17
6	20	1.4503e-17
6	21	1.45075e-17
6	22	1.44034e-17
6	23	1.44351e-17
6	24	1.45187e-17
6	25	1.45475e-17
6	26	1.44864e-17
6	27	1.45414e-17
6	28	1.4597e-17
6	29	1.46832e-17
6	30	1.46534e-17
6	31	1.46022e-17
6	32	1.46714e-17
6	33	1.4356e-17
6	34	1.43613e-17
6	35	1.4576e-17
6	36	1.4518e-17
6	37	1.46101e-17
6	38	1.46216e-17
6	39	1.45544e-17
6	40	1.4562e-17
6	41	1.45586e-17
6	42	1.45817e-17
6	43	1.46113e-17
6	44	1.47813e-17
6	45	1.46747e-17
6	46	1.46406e-17
6	47	1.46696e-17
6	48	1.46769e-17
6	49	1.46995e-17
6	50	1.44693e-17
6	51	1.45258e-17
6	52	1.46304e-17
6	53	1.46705e-17
6	54	1.45297e-17
6	55	1.4473e-17
6	56	1.45747e-17
6	57	1.44505e-17
6	58	1.43955e-17
6	59	1.4372e-17
6	60	1.44433e-17
6	61	1.44249e-17
6	62	1.45082e-17
6	63	1.46047e-17
6	64	1.45258e-17
6	65	1.45491e-17
6	66	1.46909e-17
6	67	1.4667e-17
6	68	1.46512e-17
6	69	1.45865e-17
6	70	1.46445e-17
6	71	1.46237e-17
6	72	1.4544e-17
6	73	1.45886e-17
6	74	1.46457e-17
6	75	1.45859e-17
6	76	1.46192e-17
6	77	1.47158e-17
6	78	1.46909e-17
6	79	1.47179e-17
6	80	1.48702e-17
6	81	1.46446e-17
6	82	1.46573e-17
6	83	1.47158e-17
6	84	1.47298e-17
6	85	1.48922e-17
6	86	1.48087e-17
6	87	1.47556e-17
6	88	1.47635e-17
6	89	1.48847e-17
6	90	1.48073e-17
6	91	1.49106e-17
6	92	1.4847e-17
6	93	1.47651e-17
6	94	1.49221e-17
6	95	1.47989e-17
6	96	1.50044e-17
6	97	1.49108e-17
6	98	1.50318e-17
6	99	1.4872e-17

7	0	1.29721e-17
7	1	1.3777e-17
7	2	1.37857e-17
7	3	1.39612e-17
7	4	1.40024e-17
7	5	1.38349e-17
7	6	1.39431e-17
7	7	1.3998e-17
7	8	1.40255e-17
7	9	1.41346e-17
7	10	1.40396e-17
7	11	1.4062e-17
7	12	1.42504e-17
7	13	1.42173e-17
7	14	1.41996e-17
7	15	1.42194e-17
7	16	1.43207e-17
7	17	1.43397e-17
7	18	1.42883e-17
7	19	1.4438e-17
7	20	1.45141e-17
7	21	1.45348e-17
7	22	1.44293e-17
7	23	1.4439e-17
7	24	1.45936e-17
7	25	1.45656e-17
7	26	1.44872e-17
7	27	1.45575e-17
7	28	1.46311e-17
7	29	1.47464e-17
7	30	1.46671e-17
7	31	1.46266e-17
7	32	1.46939e-17
7	33	1.44112e-17
7	34	1.44191e-17
7	35	1.46102e-17
7	36	1.45432e-17
7	37	1.46287e-17
7	38	1.46832e-17
7	39	1.45601e-17
7	40	1.45854e-17
7	41	1.45694e-17
7	42	1.45915e-17
7	43	1.46232e-17
7	44	1.48113e-17
7	45	1.47151e-17
7	46	1.46802e-17
7	47	1.47141e-17
7	48	1.47062e-17
7	49	1.47304e-17
7	50	1.45132e-17
7	51	1.45805e-17
7	52	1.46356e-17
7	53	1.46846e-17
7	54	1.45489e-17
7	55	1.44773e-17
7	56	1.45758e-17
7	57	1.44746e-17
7	58	1.44364e-17
7	59	1.44145e-17
7	60	1.44621e-17
7	61	1.44637e-17
7	62	1.45183e-17
7	63	1.46632e-17
7	64	1.45344e-17
7	65	1.45568e-17
7	66	1.4702e-17
7	67	1.46705e-17
7	68	1.46534e-17
7	69	1.46159e-17
7	70	1.46629e-17
7	71	1.46446e-17
7	72	1.45474e-17
7	73	1.45898e-17
7	74	1.46622e-17
7	75	1.46465e-17
7	76	1.46759e-17
7	77	1.47481e-17
7	78	1.47235e-17
7	79	1.47266e-17
7	80	1.4873e-17
7	81	1.46518e-17
7	82	1.46735e-17
7	83	1.47354e-17
7	84	1.47307e-17
7	85	1.49199e-17
7	86	1.48131e-17
7	87	1.4806e-17
7	88	1.47978e-17
7	89	1.49882e-17
7	90	1.48521e-17
7	91	1.4926e-17
7	92	1.49269e-17
7	93	1.49125e-17
7	94	1.49444e-17
7	95	1.47996e-17
7	96	1.50167e-17
7	97	1.49187e-17
7	98	1.50318e-17
7	99	1.49519e-17

8	0	1.2994e-17
8	1	1.37897e-17
8	2	1.37889e-17
8	3	1.39808e-17
8	4	1.40275e-17
8	5	1.39085e-17
8	6	1.39459e-17
8	7	1.40595e-17
8	8	1.40752e-17
8	9	1.41625e-17
8	10	1.41043e-17
8	11	1.40816e-17
8	12	1.42513e-17
8	13	1.43243e-17
