#1:n	2:kx	3:s(n,kx)
6	22	1.12153e-15
6	23	1.12478e-15
6	24	1.12638e-15
6	25	1.11972e-15
6	26	1.1244e-15
6	27	1.11972e-15
6	28	1.12387e-15
6	29	1.12638e-15
6	30	1.11998e-15
6	31	1.11706e-15
6	32	1.11873e-15
6	33	1.10789e-15
6	34	1.10706e-15
6	35	1.09977e-15
6	36	1.10103e-15
6	37	1.10996e-15
6	38	1.09812e-15
6	39	1.09679e-15
6	40	1.10388e-15
6	41	1.09087e-15
6	42	1.10609e-15
6	43	1.09696e-15
6	44	1.10975e-15
6	45	1.11233e-15
6	46	1.10913e-15
6	47	1.1054e-15
6	48	1.10262e-15
6	49	1.10793e-15
6	50	1.09171e-15
6	51	1.09766e-15
6	52	1.09781e-15
6	53	1.11135e-15
6	54	1.09604e-15
6	55	1.09648e-15
6	56	1.0878e-15
6	57	1.09205e-15
6	58	1.08894e-15
6	59	1.09141e-15
6	60	1.08901e-15
6	61	1.09757e-15
6	62	1.0982e-15
6	63	1.10879e-15
6	64	1.09806e-15
6	65	1.10776e-15
6	66	1.12101e-15
6	67	1.1309e-15
6	68	1.11551e-15
6	69	1.11809e-15
6	70	1.11419e-15
6	71	1.12387e-15
6	72	1.12366e-15
6	73	1.13551e-15
6	74	1.13576e-15
6	75	1.13275e-15
6	76	1.13959e-15
6	77	1.13097e-15
6	78	1.14611e-15
6	79	1.1441e-15
6	80	1.15689e-15
6	81	1.14794e-15
6	82	1.14597e-15
6	83	1.14378e-15
6	84	1.15029e-15
6	85	1.16352e-15
6	86	1.16118e-15
6	87	1.1649e-15
6	88	1.16566e-15
6	89	1.17308e-15
6	90	1.16645e-15
6	91	1.17788e-15
6	92	1.16739e-15
6	93	1.16915e-15
6	94	1.17414e-15
6	95	1.17145e-15
6	96	1.1727e-15
6	97	1.17256e-15
6	98	1.18483e-15
6	99	1.18158e-15

7	0	1.01867e-15
7	1	1.08837e-15
7	2	1.08895e-15
7	3	1.09123e-15
7	4	1.10102e-15
7	5	1.09426e-15
7	6	1.09267e-15
7	7	1.10079e-15
7	8	1.10815e-15
7	9	1.11061e-15
7	10	1.1109e-15
7	11	1.11028e-15
7	12	1.1172e-15
7	13	1.12433e-15
7	14	1.11622e-15
7	15	1.11805e-15
7	16	1.12247e-15
7	17	1.11556e-15
7	18	1.11815e-15
7	19	1.12408e-15
7	20	1.12974e-15
7	21	1.12902e-15
7	22	1.12268e-15
7	23	1.13006e-15
7	24	1.12833e-15
7	25	1.12368e-15
7	26	1.12504e-15
7	27	1.12181e-15
7	28	1.126e-15
7	29	1.12706e-15
7	30	1.12373e-15
7	31	1.11876e-15
7	32	1.11924e-15
7	33	1.10828e-15
7	34	1.10952e-15
7	35	1.10458e-15
7	36	1.10179e-15
7	37	1.11065e-15
7	38	1.10624e-15
7	39	1.1025e-15
7	40	1.10441e-15
7	41	1.09488e-15
7	42	1.10832e-15
7	43	1.09896e-15
7	44	1.11175e-15
7	45	1.11292e-15
7	46	1.1109e-15
7	47	1.10589e-15
7	48	1.1068e-15
7	49	1.10801e-15
7	50	1.09289e-15
7	51	1.0977e-15
7	52	1.10305e-15
7	53	1.11238e-15
7	54	1.09799e-15
7	55	1.09742e-15
7	56	1.09021e-15
7	57	1.09733e-15
7	58	1.09047e-15
7	59	1.09151e-15
7	60	1.08927e-15
7	61	1.10053e-15
7	62	1.09968e-15
7	63	1.10929e-15
7	64	1.10136e-15
7	65	1.10869e-15
7	66	1.12369e-15
7	67	1.13228e-15
7	68	1.11862e-15
7	69	1.11838e-15
7	70	1.11978e-15
7	71	1.12479e-15
7	72	1.12408e-15
7	73	1.13559e-15
7	74	1.1364e-15
7	75	1.13363e-15
7	76	1.14069e-15
7	77	1.13389e-15
7	78	1.15094e-15
7	79	1.14437e-15
7	80	1.15943e-15
7	81	1.1483e-15
7	82	1.14713e-15
7	83	1.144e-15
7	84	1.15279e-15
7	85	1.16876e-15
7	86	1.16389e-15
7	87	1.16571e-15
7	88	1.16646e-15
7	89	1.17408e-15
7	90	1.1673e-15
7	91	1.17996e-15
7	92	1.16801e-15
7	93	1.17024e-15
7	94	1.17527e-15
7	95	1.17299e-15
7	96	1.17798e-15
7	97	1.17412e-15
7	98	1.18567e-15
7	99	1.18207e-15

8	0	1.02171e-15
8	1	1.08845e-15
8	2	1.09201e-15
8	3	1.09953e-15
8	4	1.10723e-15
8	5	1.09458e-15
8	6	1.09311e-15
8	7	1.10654e-15
8	8	1.10891e-15
8	9	1.11478e-15
8	10	1.11116e-15
8	11	1.11067e-15
8	12	1.12032e-15
8	13	1.12498e-15
8	14	1.11642e-15
8	15	1.1206e-15
8	16	1.12485e-15
8	17	1.12497e-15
8	18	1.11868e-15
8	19	1.13621e-15
8	20	1.13268e-15
8	21	1.12954e-15
8	22	1.12542e-15
8	23	1.13133e-15
8	24	1.13111e-15
8	25	1.12407e-15
8	26	1.12702e-15
8	27	1.12316e-15
8	28	1.12903e-15
8	29	1.13204e-15
8	30	1.12407e-15
8	31	1.12345e-15
8	32	1.12022e-15
8	33	1.11643e-15
8	34	1.11028e-15
8	35	1.10541e-15
8	36	1.10295e-15
8	37	1.11431e-15
8	38	1.11023e-15
8	39	1.10979e-15
8	40	1.10947e-15
8	41	1.095e-15
8	42	1.11102e-15
8	43	1.09958e-15
8	44	1.1127e-15
8	45	1.11548e-15
8	46	1.11112e-15
8	47	1.10712e-15
8	48	1.10695e-15
8	49	1.10975e-15
8	50	1.09476e-15
8	51	1.10582e-15
8	52	1.10369e-15
8	53	1.11239e-15
8	54	1.10229e-15
8	55	1.09831e-15
8	56	1.0911e-15
8	57	1.09741e-15
8	58	1.09166e-15
8	59	1.09427e-15
8	60	1.09058e-15
8	61	1.1007e-15
8	62	1.10019e-15
8	63	1.10949e-15
8	64	1.10862e-15
8	65	1.11189e-15
8	66	1.12654e-15
8	67	1.13258e-15
8	68	1.12001e-15
8	69	1.11854e-15
8	70	1.12312e-15
8	71	1.12635e-15
8	72	1.12445e-15
8	73	1.13665e-15
8	74	1.13685e-15
8	75	1.13695e-15
8	76	1.14131e-15
8	77	1.1419e-15
8	78	1.15195e-15
8	79	1.14559e-15
8	80	1.16125e-15
8	81	1.15179e-15
8	82	1.1478e-15
8	83	1.14702e-15
8	84	1.15299e-15
8	85	1.16898e-15
8	86	1.16678e-15
8	87	1.16603e-15
8	88	1.16659e-15
8	89	1.17789e-15
8	90	1.16931e-15
8	91	1.18195e-15
8	92	1.16892e-15
8	93	1.17494e-15
8	94	1.17616e-15
8	95	1.1741e-15
8	96	1.17956e-15
8	97	1.17663e-15
8	98	1.18682e-15
8	99	1.18269e-15

9	0	1.02319e-15
9	1	1.09479e-15
9	2	1.09315e-15
9	3	1.10141e-15
9	4	1.10777e-15
9	5	1.10061e-15
9	6	1.09461e-15
9	7	1.10879e-15
9	8	1.10952e-15
9	9	1.11512e-15
9	10	1.11276e-15
9	11	1.11103e-15
9	12	1.12251e-15
9	13	1.12722e-15
9	14	1.11845e-15
9	15	1.12101e-15
9	16	1.12537e-15
9	17	1.12904e-15
9	18	1.12014e-15
9	19	1.13646e-15
9	20	1.13354e-15
9	21	1.12957e-15
9	22	1.12554e-15
9	23	1.13135e-15
9	24	1.1323e-15
9	25	1.12442e-15
9	26	1.12839e-15
9	27	1.12444e-15
9	28	1.12989e-15
9	29	1.13317e-15
9	30	1.12765e-15
9	31	1.12375e-15
9	32	1.12117e-15
9	33	1.11749e-15
9	34	1.11104e-15
9	35	1.10788e-15
9	36	1.1037e-15
9	37	1.11433e-15
9	38	1.11126e-15
9	39	1.11586e-15
9	40	1.10963e-15
